ID,CAD,Estação,coordenação,Nome,Municipios,Altitude,Início,Fim,Anos,X_coord,Y_coord,TEMP_MÉD_ANUAL,CHUVA,ETP,ETR,DEF,EXC,ER/ETP
11,300,1840011,ANA,COTAXE,ECOPORANGA,200,1977,2006,30,"-40,72","-18,19","24,5","1104,8","1345,3","1104,8","240,6","0,0","0,8"
12,300,1840012,ANA,FAZENDA LIMOEIRO,MONTANHA,96,1977,2006,30,"-40,14","-18,15","24,8","1123,2","1379,1","1123,2","255,9","0,0","0,8"
13,300,1840013,ANA,ECOPORANGA,ECOPORANGA,300,1977,2006,30,"-40,84","-18,37","23,9","1333,0","1261,3","1215,2","46,1","117,8","1,0"
14,300,1840015,ANA,PATRIMONIO STA LUZIA DO NORTE,ECOPORANGA,400,1977,2006,30,"-40,60","-18,21","23,1","1121,7","1162,7","1100,6","62,1","21,1","0,9"
15,300,1840016,ANA,PATRIMONIO XV,NOVA VENÉCIA ,96,1977,2006,30,"-40,46","-18,49","25,0","1130,2","1408,4","1130,2","278,2","0,0","0,8"
16,300,1840017,ANA,SAO JOAO DO SOBRADO,PINHEIROS,100,1977,2006,30,"-40,41","-18,32","25,0","1150,0","1403,7","1150,0","253,7","0,0","0,8"
17,300,1840019,ANA,CORREGO DA BOA ESPERANCA,NOVA VENÉCIA ,80,1977,2006,30,"-40,44","-18,70","25,0","1051,9","1415,4","1051,9","363,5","0,0","0,7"
18,300,1840020,ANA,SAO JOAO DA CACHOEIRA GRANDE,BOA ESPERANÇA,100,1977,2006,30,"-40,34","-18,56","24,9","1098,8","1386,1","1098,8","287,3","0,0","0,8"
19,300,1841009,ANA,MANTENOPOLIS,MANTENÓPOLIS,900,1977,2006,30,"-41,12","-18,91","19,8","993,2","912,6","861,6","51,0","131,6","0,9"
20,300,1841010,ANA,SANTO AGOSTINHO,AGUA DOCE DO NORTE,500,1977,2006,30,"-41,04","-18,41","22,7","1210,9","1126,5","1076,8","49,8","134,1","1,0"
21,300,1939002,ANA,POVOAÇÃO,LINHARES,3,1977,2006,30,"-39,79","-19,58","24,9","1196,9","1383,6","1196,9","186,6","0,0","0,9"
22,300,1940000,ANA,ITARANA,ITARANA,165,1977,2006,30,"-40,87","-19,87","24,5","1145,9","1342,0","1145,9","196,1","0,0","0,9"
23,300,1940001,ANA,SAO JOAO DE PETROPOLIS,SANTA TEREZA,149,1977,2006,30,"-40,68","-19,81","24,5","1082,1","1336,8","1082,1","254,7","0,0","0,8"
24,300,1940002,ANA,SANTA CRUZ-LITORAL,ARACRUZ,5,1977,2006,30,"-40,15","-19,96","25,0","1261,0","1414,0","1261,0","153,0","0,0","0,9"
25,300,1940005,ANA,CAVALINHO,JOÃO NEIVA,50,1977,2006,30,"-40,40","-19,69","25,0","1356,8","1407,2","1327,9","79,3","28,9","0,9"
26,300,1940006,ANA,COLATINA  (PCD),COLATINA,40,1977,2006,30,"-40,62","-19,53","25,3","1072,9","1453,7","1072,9","380,8","0,0","0,7"
27,300,1940007,ANA,FUNDÃO,FUNDÃO,50,1977,2006,30,"-40,40","-19,94","24,9","1519,7","1398,5","1369,4","29,1","150,3","1,0"
28,300,1940009,ANA,PANCAS,PANCAS,135,1977,2006,30,"-40,85","-19,22","24,9","1188,2","1392,0","1188,2","203,8","0,0","0,9"
29,300,1940010,ANA,VALSUGANA VELHA-MONTANTE,SANTA TEREZA,675,1977,2006,30,"-40,55","-19,95","20,7","1864,2","964,4","964,4","0,0","899,9","1,0"
30,300,1940012,ANA,ITAIMBE,ITAGUAÇU,70,1977,2006,30,"-40,84","-19,66","25,2","1122,8","1445,4","1122,8","322,6","0,0","0,8"
31,300,1940013,ANA,NOVO BRASIL,GOVERNADOR LINDEMBERG,170,1977,2006,30,"-40,59","-19,24","24,4","1170,3","1324,2","1170,3","153,9","0,0","0,9"
32,300,1940016,ANA,SÃO DOMINGOS DO NORTE,SÃO DOMINGOS DO NORTE,70,1977,2006,30,"-40,52","-19,06","25,1","1174,6","1423,9","1174,6","249,3","0,0","0,8"
33,300,1940020,ANA,CALDEIRAO,SANTA TEREZA,690,1977,2006,30,"-40,74","-19,96","20,7","1144,9","968,1","935,9","32,2","209,0","1,0"
34,300,1940021,ANA,ARACRUZ,ARACRUZ,58,1977,2006,30,"-40,27","-19,83","24,8","1345,4","1377,5","1305,9","71,6","39,5","0,9"
35,300,1940022,ANA,JACUPEMBA (DNOS),ARACRUZ,50,1977,2006,30,"-40,20","-19,59","24,9","1219,9","1385,1","1219,9","165,2","0,0","0,9"
36,300,1940023,ANA,RIO BANANAL,RIO BANANAL,95,1977,2006,30,"-40,32","-19,27","24,7","1218,3","1364,5","1218,3","146,2","0,0","0,9"
37,300,1940025,ANA,SERRARIA (ALTO DO MOACIR),GOVERNADOR LINDEMBERG,80,1977,2006,30,"-40,52","-19,30","25,0","1279,2","1404,4","1260,8","143,5","18,3","0,9"
38,300,1941003,ANA,BAIXO GUANDU,BAIXO GUANDU,70,1977,2006,30,"-41,01","-19,52","25,4","895,8","1475,1","895,8","579,3","0,0","0,6"
39,300,1941008,ANA,LARANJA DA TERRA,LARANJA DA TERRA,250,1977,2006,30,"-41,06","-19,90","24,1","1068,3","1283,6","1068,3","215,3","0,0","0,8"
40,300,1941009,ANA,IBITUBA,BAIXO GUANDU,160,1977,2006,30,"-41,02","-19,69","24,7","925,0","1371,6","925,0","446,6","0,0","0,7"
